Name,Verdict,Reason,DetectedBrand,AuthenticityReview
Hublot Big Bang Ferrari Carbon Red Magic Limited Edition 401.QX.0123.V,DROP,duplicated description (shared across products),Hublot,
Hublot Classic Fusion Ceramic Blue Chronograph 45MM 521.CM.7170.LR,DROP,duplicated description (shared across products),Hublot,
Hublot Stainless Steel Big Bang One Click with Diamond Bezel,DROP,duplicated description (shared across products),Hublot,
Hublot Black Ceramic Big Bang King Power Unico GMT 48mm,DROP,duplicated description (shared across products),Hublot,
Hublot Spirit of Big Bang King Gold Ceramic 45mm 601.OM.0183.LR,DROP,duplicated description (shared across products),Hublot,
Hublot Big Bang Ferrari Carbon Red Magic Limited Edition 401.QX.0123.V,DROP,duplicated description (shared across products),Hublot,
Hublot Classic Fusion Ceramic Blue Chronograph 45MM 521.CM.7170.LR,DROP,duplicated description (shared across products),Hublot,
Hublot Stainless Steel Big Bang One Click with Diamond Bezel,DROP,duplicated description (shared across products),Hublot,
Hublot Black Ceramic Big Bang King Power Unico GMT 48mm,DROP,duplicated description (shared across products),Hublot,
IWC Stainless Steel Portofino Moonphase 46mm,DROP,duplicated description (shared across products),IWC,
IWC Bronze Pilots Chronograph Watch 41mm,DROP,duplicated description (shared across products),IWC,
IWC Big Pilot's Perpetual Calendar Edition 'Top Gun' 48mm Automatic IW,DROP,duplicated description (shared across products),IWC,
IWC Pilot's Chronograph Top Gun Edition 44.5mm Ceramic IW389101,DROP,duplicated description (shared across products),IWC,
IWC Pilot's Watch Mark XVI Automatic 40mm Stainless Steel IW325501,DROP,duplicated description (shared across products),IWC,
IWC Stainless Steel Portofino Moonphase 46mm,DROP,duplicated description (shared across products),IWC,
IWC 18 Karat Rose Gold Portuguese Perpetual Calendar,DROP,duplicated description (shared across products),IWC,
IWC Platinum Portugieser Minute Repetition,DROP,duplicated description (shared across products),IWC,
Jaeger LeCoultre Reverso Gran'Sport Duo Yellow Gold 295.1.51,DROP,duplicated description (shared across products),,
Jaeger-LeCoultre Stainless Steel Master Ultra Thin Moonphase 39mm,DROP,duplicated description (shared across products),Jaeger-LeCoultre,
Junghans Meister Chronoscope 27/4525.00,DROP,duplicated description (shared across products),Junghans,
Junghans Pilot Chronoscope USA Edition 27/3395.00,DROP,duplicated description (shared across products),Junghans,
Junghans Pilot Chronoscope Automatic 27/3492.00,DROP,duplicated description (shared across products),Junghans,
Junghans Meister S Automatic 27/4210.44,DROP,duplicated description (shared across products),Junghans,
Junghans Pilot Automatic 27/4490.00,DROP,duplicated description (shared across products),Junghans,
Junghans Meister Fein Chronoscope MEGA Solar 59/4200.00,DROP,duplicated description (shared across products),Junghans,
Junghans FORM A Chronoscope English Date 27/4371.01,DROP,duplicated description (shared across products),Junghans,
Junghans Pilot Chronoscope USA Edition 27/3395.00,DROP,duplicated description (shared across products),Junghans,
Junghans Meister Chronoscope English Date Automatic 27/4429.47,DROP,duplicated description (shared across products),Junghans,
Junghans Pilot Chronoscope Desert 27/3398.00,DROP,duplicated description (shared across products),Junghans,
Junghans Pilot Automatic Navy Blue 27/4397.00,DROP,duplicated description (shared across products),Junghans,
Junghans Max Bill Chronoscope Bauhaus 27/4303.02,DROP,duplicated description (shared across products),Junghans,
Junghans Max Bill Handaufzug 27/3701.02,DROP,duplicated description (shared across products),Junghans,
Junghans Meister S Chronoscope Limited Edition 27/4025.01,DROP,duplicated description (shared across products),Junghans,
Junghans Meister Chronoscope Automatic 27/4222.02,DROP,duplicated description (shared across products),Junghans,
Junghans Max Bill Edition Set Kleine & Chronoscope 27/4018.03,DROP,duplicated description (shared across products),Junghans,
Junghans Meister Max Bill Automatic 27/4701.00,DROP,duplicated description (shared across products),Junghans,
Locman Montecristo Chronograph Automatic 44mm 0516M08S-00WHBKPN,DROP,duplicated description (shared across products),Locman,
Locman Island Quartz 40mm 0613A19S-00PTWHSL,DROP,duplicated description (shared across products),Locman,
Locman Mare 300 MT Chrono Quartz 44mm 0560M01R-0RBKRGSK2,DROP,duplicated description (shared across products),Locman,
Locman Montecristo Automatic 42mm 0537K01S-BKBKORSK,DROP,duplicated description (shared across products),Locman,
Locman Sport Anniversary Chronograph 37mm 0472L22S-LLT0SKCB,DROP,duplicated description (shared across products),Locman,
Locman Ducati Chronograph 42mm D106A07S-00GYYPKY,DROP,duplicated description (shared across products),Locman,
Locman Ducati Chronograph 42mm D105A01S-00BKRPKR,DROP,duplicated description (shared across products),Locman,
Locman Stealth 300 MT Chronograph 46mm 0217V1-0KBKNKS2K,DROP,duplicated description (shared across products),Locman,
Locman Island Quartz 40mm 07S-00GYRDSR,DROP,duplicated description (shared across products),Locman,
Locman 1960 Moonphase 41mm 0256A05A-00AVNKPB,DROP,duplicated description (shared across products),Locman,
Locman Sport Anniversary Chronograph 37mm 040L01S-LLBKSKCS,DROP,duplicated description (shared across products),Locman,
Locman Nuovo Mare Quartz 39mm 0558M14R-0RMWRGB0,DROP,duplicated description (shared across products),Locman,
Locman Montecristo Automatic 42mm 0537A01S-00BKGRSK,DROP,duplicated description (shared across products),Locman,
Locman Sport Anniversary Chronograph 37mm 0472L22S-LLTOGRCG,DROP,duplicated description (shared across products),Locman,
Locman Stealth Lady 33mm 0804R01R-RRBKRGPK,DROP,duplicated description (shared across products),Locman,
Locman Montecristo Chronograph 44mm 051000BKFOR0GOK,DROP,duplicated description (shared across products),Locman,
Locman Montecristo Automatic 41mm 0541A02S-00BLWHPB,DROP,duplicated description (shared across products),Locman,
Locman Ducati Automatic 42mm D104A09S-00CBIPKR,DROP,duplicated description (shared across products),Locman,
Locman Stealth 300 MT Automatic 46mm 0215V3-0KBLNKS2B,DROP,duplicated description (shared across products),Locman,
Locman Nuovo Mare Quartz 39mm 0558A07S-00GYFXSF,DROP,duplicated description (shared across products),Locman,
Locman 1960 Automatic 42mm 0255R02R-RRBLRGPB,DROP,duplicated description (shared across products),Locman,
Locman Island Chrono Quartz 40mm 0618B02S-BLBLWHSB,DROP,duplicated description (shared across products),Locman,
Locman Montecristo Automatic 42MM 0537A01S-00BKSKB0,DROP,duplicated description (shared across products),Locman,
Locman Sport Anniversary 37mm 0471L01S-LLBKORCO,DROP,duplicated description (shared across products),Locman,
Locman Ducati Chronograph 42mm D107A09S-00CBIPKR,DROP,duplicated description (shared across products),Locman,
Locman Stealth 300 MT Automatic 46mm 0216V4-CBCB5N0S2K,DROP,duplicated description (shared across products),Locman,
Locman Montecristo Chronograph 41mm 0542A01S-00BKORPK,DROP,duplicated description (shared across products),Locman,
Locman Ducati D106A01S-00BKRSIK,DROP,duplicated description (shared across products),Locman,
Omega Seamaster Diver 300M 42mm Stainless Steel Yellow Gold 210.22.42.,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Automatic 34MM Rose Gold 14704-3,KEEP,,Omega,YES
"Omega Seamaster Diver 300m 44mm ""36th America's Cup & Auckland 2021""",DROP,duplicated description (shared across products),Omega,
Omega Speedmaster Mark IV 41mm Chronograph Stainless Steel 176.0012,DROP,duplicated description (shared across products),Omega,
Omega Seamaster 300 41mm Stainless Steel 233.30.41.21.01.001 >>>535-15,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Planet Ocean 600M GMT 43.5MM 215.33.44.22.01.001,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster Moonwatch Professional Chronograph 42MM Gold 310.63.,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster Dark Side Of The Moon 44.25MM Black Ceramic 311.92.4,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster '57 Chronograph 40.5mm Stainless Steel 332.10.41.51.,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 150M Small Seconds 38MM 220.10.38.20.10.001,DROP,duplicated description (shared across products),Omega,
Omega Constellation 41MM Stainless Steel 131.33.41.21.06.001,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster Dark Side Of The Moon 44.25MM Black Ceramic 311.92.4,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster Moonwatch Professional 42MM Canopus Gold 310.60.42.5,DROP,duplicated description (shared across products),Omega,
Omega Constellation 28MM Stainless Steel Yellow Gold 131.20.28.60.05.0,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster Moonwatch Professional Chronograph 42MM 145.0022,DROP,duplicated description (shared across products),Omega,
Omega Specialties Paris 2024 39MM Bronze Gold Edition 522.92.39.21.99.,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster Moonwatch Professional 42MM Sedna Gold Steel 310.20.,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 150M 38MM Stainless Steel 220.10.38.20.01.0,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra Shades 38MM Stainless Steel 220.10.38.20.13,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Diver 300M 42MM Stainless Steel PARIS 2024  522.21.42.,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra Shades 38MM Gold Stainless Steel 220.20.38.,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Diver 300M 42MM Stainless Steel PARIS 2024  522.21.42.,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 150M 41MM Stainless Steel 220.10.41.21.03.0,DROP,duplicated description (shared across products),Omega,
Omega Constellation 41MM Stainless Steel 131.30.41.21.99.003,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Planet Ocean 600M 43.5MM Titanium 215.92.44.21.99.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra Shades 38MM Stainless Steel 220.10.38.20.10,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Diver 300M 42MM Summer Blue 210.32.42.20.03.002,DROP,duplicated description (shared across products),Omega,
Omega Necklace in Gold,DROP,non-watch / no product signal,Omega,
Omega Seamaster Aqua Terra Shades 38MM Stainless Steel 220.10.38.20.09,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 150M 41MM Stainless Steel 220.10.41.21.03.0,DROP,duplicated description (shared across products),Omega,
Omega Speed Master Moonphase Blue Side Of The Moon 44.25MM Ceramic 304,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 43MM 150M Worldtimer Stainless Steel 220.30,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 150M 34MM Diamonds 220.20.34.20.59.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Diver 300M 44MM 210.32.44.51.01.001,DROP,duplicated description (shared across products),Omega,
Omega Aqua Terra 150M 28MM 220.10.28.60.53.001,DROP,duplicated description (shared across products),Omega,
Omega De Ville Prestige 39.5MM 424.13.40.20.02.005,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Diver 300M 42MM Sedna Gold 210.62.42.20.03.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 150M 38MM Stainless Steel 220.13.38.20.02.0,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Diver 300M 43.5MM Black Ceramic 210.92.44.20.01.002,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 150M 41MM 220.52.41.21.03.001,DROP,duplicated description (shared across products),Omega,
Omega De Ville Prestige 39.5MM Yellow Gold 424.53.40.20.02.002,DROP,duplicated description (shared across products),Omega,
Omega De Ville Tresor 39MM Stainless Steel Diamonds 428.17.39.60.01.00,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster Moonwatch Professional Chronograph 42MM 310.30.42.50,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster Chronoscope Chronograph 43MM 329.30.43.51.02.002,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster Chronoscope Chronograph 43MM 329.30.43.51.03.001,DROP,duplicated description (shared across products),Omega,
Omega Constellation Globemaster Annual Calendar 41MM Rose Gold 130.53.,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Diver 300M 42MM 210.30.42.20.06.001,DROP,duplicated description (shared across products),Omega,
Omega Constellation Quartz 27MM Stainless Steel 123.10.27.60.55.003,DROP,duplicated description (shared across products),Omega,
Omega Constellation Quartz 28MM 131.10.28.60.03.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Diver 300M 42MM 210.22.42.20.01.002,DROP,duplicated description (shared across products),Omega,
Omega Constellation Quartz 28MM 131.10.28.60.11.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster 300 Heritage 41MM 234.30.41.21.03.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster 300 41MM Stainless Steel 234.30.41.21.01.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 150M Small Seconds 41MM 220.10.41.21.02.002,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Diver 300M 42MM 210.32.42.20.04.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 150M 41MM Beijin 2022 522.10.41.21.04.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster 300 41MM Bronze Gold 234.92.41.21.10.001,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster Chronoscope Chronograph 43MM 329.30.43.51.03.001,DROP,duplicated description (shared across products),Omega,
Omega De Ville Tresor Small Seconds 40MM 435.13.40.21.03.002,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster Chronoscope 43MM Bronze Gold 329.92.43.51.10.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster 300 41MM Bronze Gold 234.92.41.21.10.001,DROP,duplicated description (shared across products),Omega,
Omega Constellation Quartz 28MM 131.10.28.60.03.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 150M 41MM Stainless Steel Rose Gold 220.22.,DROP,duplicated description (shared across products),Omega,
Omega Seamaster 300 41MM 234.30.41.21.03.002,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 150M 38MM Stainless Steel 220.10.38.20.01.0,DROP,duplicated description (shared across products),Omega,
Omega De Ville Prestige 40MM Stainless Steel 434.10.40.20.03.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 150M 41MM Stainless Steel 220.10.41.21.06.0,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Planet Ocean 600M Chronograph 45.5MM 215.23.46.51.03.0,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Planet Ocean 6000M Ultra Deep 45.5MM Titanium 215.92.4,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Planet Ocean 600M GMT 45.5MM Big Blue Ceramic 215.92.4,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Planet Ocean 600M 45.5MM 232.18.46.21.01.001,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster '57 Chronograph 40.5MM 332.10.41.51.11.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Diver 300M 42MM 210.30.42.20.04.001,DROP,duplicated description (shared across products),Omega,
Omega Constellation 36MM Stainless Steel Rose Gold Diamonds 131.20.36.,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Diver 300M Chronograph 44MM 210.30.44.51.01.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Diver 300M 42MM Stainless Steel Rose Gold 210.20.42.20,DROP,duplicated description (shared across products),Omega,
Omega Constellation Small Seconds 43mm Stainless Steel Rose Gold 131.2,DROP,duplicated description (shared across products),Omega,
Omega Constellation Globemaster Annual Calendar 41MM 130.23.41.22.11.0,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster Moonphase Chronograph 44.25MM 304.30.44.52.01.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster 300 41MM 234.30.41.21.01.001,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster Dark Side Of The Moon 44.25MM Black Ceramic 311.92.4,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster '57 Chronograph 40.5MM 332.10.41.51.10.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 150M 41MM 220.12.41.21.03.002,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster Dark Side Of The Moon 44.25MM Vintage Black 311.92.4,DROP,duplicated description (shared across products),Omega,
Omega De Ville Prestige 32.7MM Stainless Steel Yellow Gold 424.25.33.2,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 150M 41MM Rose Gold 220.50.41.21.03.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 150M Small Seconds 41MM 220.10.41.21.02.004,DROP,duplicated description (shared across products),Omega,
Omega Speedmaster Chronoscope Chronograph 43mm 329.32.43.51.03.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster 300 41MM Stainless Steel 234.32.41.21.01.001,DROP,duplicated description (shared across products),Omega,
Omega Seamaster Aqua Terra 150M Small Seconds 38MM 220.10.38.20.59.001,DROP,duplicated description (shared across products),Omega,
Omega Titanium Seamaster X-33,DROP,duplicated description (shared across products),Omega,
Patek Philippe Annual Calendar 39mm White Gold 5146G-001,DROP,duplicated description (shared across products),Patek Philippe,
Patek Philippe Calatrava 39mm White Gold 6000G,DROP,duplicated description (shared across products),Patek Philippe,
Patek Philippe 18 Karat Yellow Gold Calatrava 32mm,DROP,duplicated description (shared across products),Patek Philippe,
Rolex Datejust 36 Stainless Steel Yellow Gold 16233,KEEP,,Rolex,YES
Omega Seamaster Diver 300M 42mm Stainless Steel Yellow Gold 210.22.42.,DROP,duplicated description (shared across products),Omega,
Hublot Spirit of Big Bang King Gold Ceramic 45mm 601.OM.0183.LR,DROP,duplicated description (shared across products),Hublot,
Rolex Yacht-Master 42 White Gold 226659,KEEP,,Rolex,YES
Rolex Yacht-Master 42 Yellow Gold 226658,KEEP,,Rolex,YES
Tag Heuer Formula 1 Quartz 41mm Stainless Steel WAH1111,DROP,duplicated description (shared across products),TAG Heuer,
Breitling Navitimer Automatic GMT 41 Stainless Steel A32310,DROP,duplicated description (shared across products),Breitling,
Breitling Navitimer Automatic GMT 41 Stainless Steel A32310,DROP,duplicated description (shared across products),Breitling,
Rolex Yacht-Master 40mm Stainless Steel Yellow Gold 16623,KEEP,,Rolex,YES
Rolex Datejust 36mm Stainless Steel Yellow Gold 16013,KEEP,,Rolex,YES
Rolex Datejust 31 Stainless Steel Diamonds 68240,KEEP,,Rolex,YES
Rolex Submariner Date 40mm Stainless Steel Yellow Gold 16613,KEEP,,Rolex,YES
Jaeger LeCoultre Reverso Gran'Sport Duo Yellow Gold 295.1.51,DROP,duplicated description (shared across products),,
Rolex Datejust 41 Stainless Steel Yellow Gold 2025  126333,KEEP,,Rolex,YES
Rolex Datejust 36 Stainless Steel 16220,KEEP,,Rolex,YES
Rolex Oyster Perpetual Date 26mm Stainless Steel 79190,KEEP,,Rolex,YES
Porsche Design 1919 Chronotimer Chronograph 41.5mm Titanium 6020.1.02.,KEEP,,,
Rolex Submariner Date 40mm Stainless Steel Yellow Gold 2016 116613LB,KEEP,,Rolex,YES
Cartier Tank Louis 24mm Yellow Gold Small Model M2000,DROP,duplicated description (shared across products),Cartier,
Rolex GMT-Master II 40mm Everose Gold Root Beer 126715CHNR,KEEP,,Rolex,YES
Rolex Oyster Perpetual Date 34mm Stainless Steel Yellow Gold 15223,KEEP,,Rolex,YES
Rolex Datejust 41 Stainless Steel White Gold Wimbledon 2018 126334,KEEP,,Rolex,YES
Rolex Submariner Date 41mm Stainless Steel Starbucks 2022 126610LV,KEEP,,Rolex,YES
Cartier Santos Demoiselle 20mm Rose Gold Diamonds WF9011Z8,DROP,duplicated description (shared across products),Cartier,
Rolex Datejust 41mm Stainless Steel Wimbledon 2023  126300,KEEP,,Rolex,YES
Gerald Genta Arena Bi-Retro 45mm Titanium BSP.Y.80.264.B8.BD,KEEP,,,
Tudor Black Bay Ceramic 41mm 79210CNU,DROP,duplicated description (shared across products),Tudor,
Parmigiani Fleurier Pershing One-One-Five Chronograph Rose Gold PF6001,KEEP,,,
Rolex Oyster Perpetual Date 34mm Stainless Steel 15210,KEEP,,Rolex,YES
Baume & Mercier 20mm Yellow Gold Diamonds 18259,DROP,duplicated description (shared across products),Baume & Mercier,
Breitling Titanium Aerospace,DROP,empty description,Breitling,
Concord 14 Karat Yellow Gold Ultrathin 34MM,DROP,empty description,,
Rolex Stainless Steel Oyster Perpetual 36mm,DROP,empty description,Rolex,
Concord Vento Yellow Gold Diamonds 51-25-665,KEEP,,,
Gruen Curvex Precision Vintage Yellow Gold,DROP,duplicated description (shared across products),,
Rolex Cosmograph Daytona 40mm Stainless Steel 116520,KEEP,,Rolex,YES
Rolex Datejust 36mm Stainless Steel Yellow Gold 16203,KEEP,,Rolex,YES
Rolex Submariner Date 41mm Stainless Steel Yellow Gold 126613LN,KEEP,,Rolex,YES
Victorinox Alliance Mechanical 40mm Stainless Steel 241898,DROP,duplicated description (shared across products),Victorinox,
Rolex Datejust 41 Stainless Steel White Gold Wimbledon 2024  126334,KEEP,,Rolex,YES
Rolex Day-Date 36 Yellow Gold President Diamonds 18248,KEEP,,Rolex,YES
Tudor Black Bay GMT 41mm Stainless Steel Pepsi 79830RB,DROP,duplicated description (shared across products),Tudor,
Rolex Explorer II 40mm Stainless Steel 16570,KEEP,,Rolex,YES
Rolex Cellini 24mm Yellow Gold 66318,KEEP,,Rolex,YES
Rolex Sky-Dweller 42mm Stainless Steel Yellow Gold 326933,KEEP,,Rolex,YES
Rolex Oyster Perpetual 41 Stainless Steel 124300,KEEP,,Rolex,YES
Rolex Datejust 31 Yellow Gold Diamonds President 178288,KEEP,,Rolex,YES
Rolex Day-Date 36 Yellow Gold President 18238,KEEP,,Rolex,YES
Rolex Datejust 36 Stainless Steel 2025  126200,KEEP,,Rolex,YES
Rolex Explorer II 42mm Stainless Steel Polar 216570,KEEP,,Rolex,YES
Rolex Submariner Date 40mm Yellow Gold 116618LN,KEEP,,Rolex,YES
Rolex Day-Date 40 Yellow Gold President Diamonds 228238,KEEP,,Rolex,YES
Tudor Pelagos FXD 42mm Titanium 25707B,KEEP,,Tudor,YES
Rolex Stainless Steel & Everose Gold Yacht-Master II 44mm,KEEP,,Rolex,YES
Rolex Submariner Date 40mm Stainless Steel Hulk 116610LV,KEEP,,Rolex,YES
Universal Geneve 14 Karat Yellow Gold Coin Dial Watch,KEEP,,,
Rolex Stainless Steel Submariner Green/Black 41mm,KEEP,,Rolex,YES
Rolex 18 Karat White Gold GMT Master II “Pepsi” 2023,KEEP,,Rolex,YES
"Omega Seamaster Diver 300m 44mm ""36th America's Cup & Auckland 2021""",DROP,duplicated description (shared across products),Omega,
Rolex Stainless Steel Datejust II 41mm,KEEP,,Rolex,YES
Rolex Stainless Steel Midsize Datejust 31mm Factory Diamond Bezel,KEEP,,Rolex,YES
Rolex Stainless Steel & 18 Karat Rose Gold Datejust 28,KEEP,,Rolex,YES
Rolex Stainless Steel Explorer II Black Dial 42mm,KEEP,,Rolex,YES
Rolex Stainless Steel & 18 Karat Yellow Gold GMT Master II “Zombie”,KEEP,,Rolex,YES
Jacob & Co Stainless Steel 5 Time Zone Diamond Bezel,KEEP,,,
Patek Philippe Annual Calendar 39mm White Gold 5146G-001,DROP,duplicated description (shared across products),Patek Philippe,
Rolex Stainless Steel Submariner Hulk 40MM,KEEP,,Rolex,YES
Patek Philippe Calatrava 39mm White Gold 6000G,DROP,duplicated description (shared across products),Patek Philippe,
Grand Seiko Stainless Steel Heritage Limited Edition 36mm,KEEP,,Grand Seiko,
IWC Stainless Steel Portofino Moonphase 46mm,DROP,duplicated description (shared across products),IWC,
Grand Stainless Steel Spring Drive GMT 44mm,KEEP,,,
IWC Bronze Pilots Chronograph Watch 41mm,DROP,duplicated description (shared across products),IWC,
Tudor Stainless Steel Black Bay 41MM,DROP,duplicated description (shared across products),Tudor,
Rolex Yachtmaster II Blue Ceramic Bezel Stainless Steel Watch Ref,KEEP,,Rolex,YES
Rolex Stainless Steel Datejust Wimbledon Dial 41mm 2023,KEEP,,Rolex,YES
Rolex Day-Date 41 Platinum President 218206,KEEP,,Rolex,YES
Rolex Day-Date 41 White Gold President 218239,KEEP,,Rolex,YES
Hamilton Platinum Diamond & Sapphire Vintage Watch,KEEP,,,
Philippe Charriol 26mm Yellow Gold Diamonds,KEEP,,,
Baume & Mercier Yellow Gold 24mm Diamonds MX000M87,DROP,duplicated description (shared across products),Baume & Mercier,
Omega Speedmaster Mark IV 41mm Chronograph Stainless Steel 176.0012,DROP,duplicated description (shared across products),Omega,
Omega Seamaster 300 41mm Stainless Steel 233.30.41.21.01.001 >>>535-15,DROP,duplicated description (shared across products),Omega,
Roger Dubuis Easy Diver Just For Friends 46mm Stainless Steel SE46,KEEP,,,
Cartier Santos De Cartier Stainless Steel ADLC Large Model WSSA0037,DROP,duplicated description (shared across products),Cartier,
Breitling Superocean Heritage B20 Automatic 44 Stainless Steel Rose Go,DROP,duplicated description (shared across products),Breitling,
Ebel Sport Classic Lady Wave 27mm Stainless Steel Yellow Gold 183908,KEEP,,,
Rolex Day-Date 36 Yellow Gold Diamonds President 128348RBR,KEEP,,Rolex,YES
Rolex Yacht-Master 42 White Gold 226659,KEEP,,Rolex,YES
Frederique Constant Highlife Tourbillon Perpetual Calendar FC-975N4NH6,DROP,duplicated description (shared across products),Frederique Constant,
Seiko Presage Sharp Edged Series 110th Anniversary Limited Edition SPB,DROP,duplicated description (shared across products),Seiko,
Seiko Presage Classic Series Automatic Stainless Steel SPB465,DROP,duplicated description (shared across products),Seiko,
Seiko Prospex Ice Diver U.S. Special Edition SPB261,DROP,duplicated description (shared across products),Seiko,
Rolex Oyster Perpetual 34mm Stainless Steel Yellow Gold 6582,KEEP,,Rolex,YES
Rolex Land-Dweller 36 Stainless Steel White Gold 127234,KEEP,,Rolex,YES
Franck Muller Master Square 32.7mm Stainless Steel Quartz 6002MQZVOACE,DROP,duplicated description (shared across products),Franck Muller,
Santos de Cartier Large Model 39.8mm Stainless Steel WSSA0062  4072,DROP,duplicated description (shared across products),Cartier,
Rolex Datejust 36 Stainless Steel 116200,KEEP,,Rolex,YES
Rolex Submariner 40mm Stainless Steel 14060,KEEP,,Rolex,YES
Omega Seamaster Planet Ocean 600M GMT 43.5MM 215.33.44.22.01.001,DROP,duplicated description (shared across products),Omega,
Rolex Datejust 36mm Stainless Steel 1603,KEEP,,Rolex,YES
Junghans Meister Chronoscope 27/4525.00,DROP,duplicated description (shared across products),Junghans,
Rolex Sky-Dweller 42mm Stainless Steel Yellow Gold 326933,KEEP,,Rolex,YES
Rolex Cosmograph Daytona Vintage 37mm Stainless Steel 6265,KEEP,,Rolex,YES
Bertolucci Giro 42mm Stainless Steel Quartz 1143.55.41.11M,DROP,duplicated description (shared across products),,
Omega Speedmaster Moonwatch Professional Chronograph 42MM Gold 310.63.,DROP,duplicated description (shared across products),Omega,
Rolex GMT-Master Stainless Steel Yellow Gold Root Beer 16753,KEEP,,Rolex,YES
Rolex Day-Date 40 Yellow Gold President Diamonds 228348RBR,KEEP,,Rolex,YES
Omega Speedmaster Dark Side Of The Moon 44.25MM Black Ceramic 311.92.4,DROP,duplicated description (shared across products),Omega,
Rolex Datejust 31 Stainless Steel White Gold Diamonds 178384,KEEP,,Rolex,YES
Franck Muller Cintree Curvex Classic 29mm Stainless Steel Diamonds 750,DROP,duplicated description (shared across products),Franck Muller,
Rolex Datejust 41 Stainless Steel White Gold Diamonds 126334,KEEP,,Rolex,YES
Maurice Lacroix Masterpiece Retrograde Calendar 43mm MP6508-SS001-130,KEEP,,Maurice Lacroix,
Bertolucci Forza II Chronograph 42mm 1393.50.42.1L18D.41L,KEEP,,,
Rolex Datejust 41 Stainless Steel Rose Gold 126331,KEEP,,Rolex,YES
Kultuhr Happy Buddha Tourbillon 42mm Stainless Steel Black Dial H10GS,KEEP,,,
Omega Speedmaster '57 Chronograph 40.5mm Stainless Steel 332.10.41.51.,DROP,duplicated description (shared across products),Omega,
Corum Bubble 35mm Stainless Steel Diamonds 39.151.47,KEEP,,,
